"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"1","01878","南戈壁-S","1.500","+1.000","200.00%","0.00%","0.00%","200.00%","1.490","1.500","1.00万","17.86万","2086.72万","3033.22万","0.000%","0.000%","0.750","0.500","1.900","0.750","7.65","0.66","230.00","亏损","12.605","-","807.87","-56.17%","4.09亿","4.09亿","2.73亿","2.73亿","0.00%","0.00%","0.00%","0.00%","0.00%","煤炭"
"2","02882","香港资源控股","0.044","+0.017","62.96%","2.33%","41.94%","33.33%","0.044","0.045","4.00万","160.00万","1.44亿","670.11万","0.000%","0.000%","0.031","0.027","0.058","0.031","9.33","2.33","100.00","亏损","亏损","-","26.74","-18.63%","6805.55万","6805.55万","15.47亿","15.47亿","62.96%","46.67%","46.67%","0.00%","-66.15%","其他零售商"
"3","02112","优库资源","0.145","+0.049","51.04%","4.32%","85.90%","68.60%","0.141","0.148","1.60万","5.00万","1623.60万","244.90万","0.000%","0.000%","0.098","0.096","0.330","0.098","1.08","-2.84","241.67","亏损","亏损","0.469","59.52","-87.00%","2.17亿","2.17亿","15亿","15亿","90.79%","107.14%","95.95%","36.79%","4.32%","钢铁"
"4","03326","保发集团","0.375","+0.125","50.00%","2.74%","60.26%","69.68%","0.365","0.375","6.00万","7.50万","1700.70万","588.70万","5.330%","8.000%","0.250","0.250","0.405","0.250","1.26","2.68","62.00","2.929","2.952","0.868","51.63","-71.95%","5.06亿","5.06亿","13.5亿","13.5亿","68.16%","72.02%","73.61%","36.36%","-33.04%","珠宝钟表"
"5","08071","中彩网通控股","0.057","+0.019","50.00%","9.62%","111.11%","90.00%","0.057","0.058","45.00万","30.00万","5659.50万","259.26万","0.000%","0.000%","0.038","0.038","0.057","0.038","1.21","1.71","50.00","亏损","亏损","7.125","5.70","0.80%","2.67亿","2.67亿","46.86亿","46.86亿","62.86%","90.00%","72.73%","147.83%","83.87%","电子商贸及互联网服务"
"6","00313","裕田中国","0.014","+0.004","40.00%","7.69%","40.00%","40.00%","0.013","0.014","35.00万","620.00万","2.58亿","339.97万","0.000%","0.000%","0.010","0.010","0.017","0.010","1.11","0.00","70.00","亏损","亏损","-","416.19","-1.53%","3.27亿","3.27亿","233.37亿","233.37亿","40.00%","40.00%","40.00%","40.00%","40.00%","地产发展商"
"7","00412","山高金融","0.640","+0.180","39.13%","3.23%","75.34%","64.10%","0.640","0.650","100.20万","69.60万","5812.81万","3190.85万","0.000%","0.000%","0.460","0.460","0.640","0.460","0.24","-1.59","39.13","亏损","亏损","6.274","1.26","47.99%","154.17亿","154.17亿","240.89亿","240.89亿","50.59%","56.10%","62.03%","42.22%","158.06%","-"
"8","08501","庄皇集团公司","0.580","+0.160","38.10%","0.00%","23.40%","45.00%","0.425","0.610","6000","2000","9.60万","5.12万","5.340%","0.000%","0.510","0.420","0.650","0.500","0.05","0.00","35.71","7.837","7.160","0.779","6.00","-84.00%","1.16亿","1.16亿","2亿","2亿","38.10%","41.46%","50.65%","61.11%","-6.45%","楼宇建造"
"9","01917","豆盟科技","0.265","+0.071","36.60%","-1.85%","76.67%","100.76%","0.265","0.270","50.00万","157.00万","9170.00万","2274.90万","0.000%","0.000%","0.194","0.194","0.275","0.193","3.99","-1.85","42.27","亏损","53.000","2.007","25.15","-27.05%","6.09亿","6.09亿","23亿","23亿","84.03%","77.85%","102.29%","76.67%","1.92%","广告及宣传"
"10","00818","高阳科技","3.130","+0.830","36.09%","-0.32%","255.68%","209.90%","3.130","3.140","21.90万","3.60万","1.34亿","4.07亿","0.000%","0.000%","2.640","2.300","3.250","2.640","4.84","-0.95","26.52","21.888","15.268","1.825","2.95","-26.67%","86.91亿","86.91亿","27.77亿","27.77亿","70.11%","117.36%","150.40%","174.56%","156.56%","电子商贸及互联网服务"
