"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","总市值","流通市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"1","IFMK","iFresh","3.300","+1.800","120.00%","-6.78%","347.15%","321.46%","0.000","0.000","0","0","4684.04万","1.32亿","0.000%","1.470","1.500","4.250","1.410","1093.00","3.40","189.33","亏损","亏损","12.790","27.88","0.00%","1.470","2.780","-2.00%","-15.76%","7.64万","212.24万","5.99","23.33","-0.030","-0.520","9976.03万","1414.21万","3023.04万","428.55万","192.04%","168.29%","256.37%","217.31%","683.85%","杂货店"
"2","TGHI","TOUCHPOINT GROUP","0.072","+0.034","88.71%","7.58%","255.00%","294.44%","0.000","0.000","0","0","1640.04万","98.96万","0.000%","0.040","0.038","0.079","0.038","0.00","1.27","107.35","-","-","-","5.74","0.00%","0.039","0.000","2.36%","0.00%","23","0","0.00","0.00","0.000","0.000","0","0","0","0","162.96%","195.83%","238.10%","108.82%","184.00%","-"
"3","BRQS","播思科技","2.945","+1.235","72.22%","9.48%","172.69%","198.68%","0.000","0.000","0","0","1.13亿","2.89亿","0.000%","2.020","1.710","3.070","1.900","601.32","-1.69","68.42","亏损","亏损","-","6.03","0.00%","2.020","2.600","18.13%","-11.71%","194.78万","678.48万","18.13","30.90","+0.310","-0.345","1.30亿","5542.63万","4414.32万","1882.05万","79.57%","149.58%","111.87%","230.53%","39.57%","软件-应用"
"4","BIQIF","BIQI INTL HLDGS","0.150","+0.061","68.73%","0.00%","14900.00%","25.00%","0.000","0.000","0","0","1.12万","1308","0.000%","0.244","0.089","0.244","0.089","0.00","0.00","174.97","-","-","-","1.04","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","87.50%","172.73%","150.00%","400.00%","476.92%","-"
"5","RCMT","RCM Technologies","6.100","+2.410","65.31%","-2.09%","348.53%","194.69%","0.000","0.000","0","0","6355.50万","5.37亿","0.000%","9.895","3.690","12.490","5.770","792.50","0.15","182.11","亏损","19.677","3.085","64.31","0.00%","9.860","5.800","167.21%","-4.92%","7004.71万","77.64万","158.27","9.84","+6.170","-0.300","7291.90万","4891.94万","1195.39万","801.96万","102.66%","131.06%","185.05%","227.96%","122.63%","工程建设"
"6","ATLS","阿特拉斯能源","0.0180","+0.0070","63.64%","0.00%","500.00%","260.00%","0.0000","0.0000","0","0","117.09万","1.41万","0.000%","0.0110","0.0110","0.0180","0.0101","3.66","0.00","71.82","亏损","亏损","-","2.71","0.00%","0.0000","0.0000","0.00%","0.00%","0","0","0.00","0.00","0.0000","0.0000","57.55万","57.53万","3197.38万","3196.39万","80.00%","100.00%","260.00%","500.00%","125.00%","-"
"7","BMBL","Bumble","70.310","+27.310","63.51%","-0.69%","0.00%","63.51%","0.000","0.000","0","0","4350.27万","32.30亿","0.000%","76.000","43.000","79.600","70.000","96.67","0.50","22.33","116.407","116.407","7.097","0.00","0.00%","0.000","71.750","0.00%","2.05%","0","1549.87万","0.00","5.58","0.000","+1.440","76.95亿","31.64亿","1.09亿","4500万","0.00%","0.00%","0.00%","0.00%","0.00%","软件-应用"
"8","CGIPQ","CELADON GRP INC","0.0130","+0.0050","62.50%","0.00%","116.67%","8.33%","0.0000","0.0000","0","0","33.88万","4323","0.000%","0.0110","0.0080","0.0150","0.0105","0.00","0.00","56.25","-","-","-","1.37","0.00%","0.0000","0.0000","0.00%","0.00%","0","0","0.00","0.00","0.0000","0.0000","0","0","0","0","62.50%","18.18%","116.67%","62.50%","18.18%","-"
"9","SOS","SOS Ltd","6.320","+2.350","59.19%","-7.67%","211.33%","327.03%","0.000","0.000","0","0","1.49亿","8.66亿","0.000%","4.240","3.970","7.180","4.180","821.07","2.73","75.57","6.631","亏损","210.666","4.04","0.00%","4.240","7.700","6.80%","21.84%","379.04万","2189.07万","7.81","33.39","+0.270","+1.380","4.11亿","1.15亿","6508.11万","1817.2万","81.61%","163.33%","171.24%","236.17%","0.00%","软件基础设施"
"10","DESTQ","DESTINATN MTRNTY","0.019","+0.007","58.33%","0.00%","58.33%","111.11%","0.000","0.000","0","0","56.82万","9156","0.000%","0.014","0.012","0.019","0.011","0.00","-0.53","66.67","-","-","-","4.33","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","90.00%","72.73%","72.73%","-20.83%","0.00%","-"
